id,name,price_cad,mean_price,deviation
695c395aa1a72152504063a2,Wrench + 2 Sets O-rings,262.99,40.66,4.38
695c3959e4ecfd80d0fd6894,Tan,325.99,40.66,5.63
695c3959612ae4b62987a1a2,"Grey-Black Knee, Elbow, and Palm Pads (110-150 lbs)",230.99,40.66,3.75
695c3958612ae4b62987a11e,Unbranded Black Knee Pads (110-160 lbs),230.99,40.66,3.75
695c3958bde2c63e6cecdf52,Kufeng Knee Pads & Elbow Pads 150-210,230.99,40.66,3.75
695c3954aae7b5b062025e2d,Tan - Full Function Red Laser + M300A + Constant On Dual Control Pressure Switch Included Battery + Charger,325.99,40.66,5.63
695c39546e9e39d7e3aad369,Black - Full Function Red Laser + M300A + Constant On Dual Control Pressure Switch Included Battery + Charger,325.99,40.66,5.63
695c39533b00921b6acae44a,Tan - Full Function Green Laser + M600C + Pressure Switch Included Battery + Charger,325.99,40.66,5.63
695c39538b911985b16e77c5,Black - Full Function Green Laser + M300A + Pressure Switch Included Battery + Charger,325.99,40.66,5.63
695c39523b63f2dd239689b2,Tan - Full Function Red Laser + M600C + Pressure Switch Included Battery + Charger,325.99,40.66,5.63
695c3952e6dc40497345711f,Black - Full Function Red Laser + M600C + Pressure Switch Included Battery + Charger,325.99,40.66,5.63
695c3952612ae4b629874cab,Black - Full Function Red Laser + M300A + Pressure Switch Included Battery + Charger,325.99,40.66,5.63
695c394c913f62399c0d472d,20MM Rail Cable Management [Blue x3],198.99,40.66,3.12
695c394c9f7a5671355504db,20MM Rail Cable Management [Red x3],198.99,40.66,3.12
695c394afc2883b56426e5f9,20MM Rail Cable Management [Black x3],198.99,40.66,3.12
695c3949713127c964acbdf0,20MM Rail Cable Management [Blue x1],198.99,40.66,3.12
695c39489f7a56713554ab88,20MM Rail Cable Management [Tan x1],198.99,40.66,3.12
695c3948fb902a401f00728c,20MM Rail Cable Management [Green x3],198.99,40.66,3.12
